"user_id_str","description","lat","long","country","mother","father","husband","wife","conservative","liberal","resist","maga","number_identities"
2870854659,"1991 ♑️ mommy of 2•wifey•makeup junkie ❤️South East Planet. Follow me i follow back",32.810012,-117.104989,"United States",1,0,0,1,0,0,0,0,2
3371897524,"wife, teen mom, family disappointment",33.5669805,-117.1965255,"United States",1,0,0,1,0,0,0,0,2
322873604,"Grandmother, Mother, Wife Former Teacher! My passion for 25 years was teaching! My blessings in life are my sons, and my 4 beautiful granddaughters!",41.3861855,-73.727948,"United States",1,0,0,0,0,0,0,0,1
2693487055,"Mom and wife. taking care of my critically ill husband and feeling lost. #gulfwarvet #gulfwarillness #copd #lungtransplant",32.576227,-86.6807375,"United States",0,0,1,1,0,0,0,0,2
1029110794427019264,"USN ⚓️ Cincy ✈️ Cali 🌞 Cancer ♋️ Steal your dad type 🤷🏻‍♀️ #bernie2020",32.810012,-117.104989,"United States",0,1,0,0,0,0,0,0,1
67679542,"Entrepreneur & Investor. Active: @RappiColombia, @LiftitApp, @Voude99, @NokBrands. Alum: @Uber, @McKinsey, @Harvard. Husband, dad, marathons",44.895222,-93.3606,"United States",0,1,0,0,0,0,0,0,1
177693012,"God gives me strength. mom of 4. writer. WWE lover. KoRn 4Life. MCR 4Life. step into my world...oh wait, you're already here. #writingcommunity #amwriting",38.4522175,-122.6761085,"United States",1,0,0,0,0,0,0,0,1
3102169274,"21 || mom to be 💙 || sc. ana.marisia",31.1688935,-100.0768885,"United States",1,0,0,0,0,0,0,0,1
1012142050509238272,"07.30.18 💖 cat mom 🥰💖",42.759558,-84.4169165,"United States",1,0,0,0,0,0,0,0,1
55866304,"God is my all! Husband and a father. Florida Gators, Miami Dolphins, Cleveland Indians, Boston Celtics. FAMU Rattler alumni",30.7921435,-81.656217,"United States",0,1,0,0,0,0,0,0,1
1227415772235853824,"@keepingupwsammie #keepingupwsammie #singlemom #domesticviolencesurvivor #businesswoman #humbled #laos #thailand #southeastasia #PSG #PSGPR",35.3090465,-98.716992,"United States",1,0,0,0,0,0,0,0,1
79298964,"23🥂 snapchat: mariamhaddad Instagram: mariammhaddad SVSU Graphic Design Major👩🏽‍💻🇯🇴❤️",45.00118,-86.2705395,"United States",0,1,0,0,0,0,0,0,1
